epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8048,1.21538,1.84894,1.5131,0.82693,0.52887,0.56835,0.32895,1.36994,1.79918,1.84503,0.000662651,0.000662651,0.000662651
2,102.052,1.30329,1.34094,1.57982,0.7259,0.48037,0.48616,0.3021,1.46662,1.45633,1.9563,0.00128545,0.00128545,0.00128545
3,150.572,1.28679,1.14905,1.54926,0.51261,0.30023,0.30758,0.15041,2.08808,2.19615,2.7112,0.00186425,0.00186425,0.00186425
4,198.105,1.27385,1.07179,1.53268,0.47743,0.23095,0.22062,0.10097,2.06166,2.66426,2.6079,0.001802,0.001802,0.001802
5,245.304,1.28033,1.04692,1.53191,0.28663,0.18938,0.15972,0.06306,2.4744,2.93779,3.36635,0.001736,0.001736,0.001736
6,292.56,1.2643,1.00129,1.53255,0.72808,0.45497,0.50445,0.31843,1.41502,1.18649,1.84261,0.00167,0.00167,0.00167
7,340.485,1.18508,0.93643,1.46616,0.87835,0.56697,0.62053,0.40924,1.22554,0.80648,1.60794,0.001604,0.001604,0.001604
8,389.98,1.16383,0.881,1.45381,0.75585,0.48268,0.54223,0.35686,1.41058,1.09279,1.95782,0.001538,0.001538,0.001538
9,437.305,1.12485,0.85492,1.42624,0.91944,0.63257,0.68587,0.47863,1.11094,0.64111,1.48265,0.001472,0.001472,0.001472
10,485.165,1.11509,0.82425,1.41879,0.7828,0.55889,0.60062,0.40979,1.17848,0.81147,1.57839,0.001406,0.001406,0.001406
11,532.853,1.11889,0.8257,1.41733,0.85901,0.57689,0.63507,0.39501,1.32862,0.79194,1.7324,0.00134,0.00134,0.00134
12,580.437,1.11334,0.80275,1.4114,0.90774,0.6351,0.69544,0.48977,1.07447,0.59752,1.41908,0.001274,0.001274,0.001274
13,628.132,1.08973,0.7764,1.39534,0.91051,0.60046,0.65514,0.45871,1.11571,0.66521,1.47626,0.001208,0.001208,0.001208
14,675.305,1.08822,0.76818,1.38906,0.78927,0.52764,0.58569,0.39673,1.26689,0.84376,1.67693,0.001142,0.001142,0.001142
15,722.265,1.07888,0.76529,1.37885,0.93289,0.60508,0.66893,0.46193,1.16022,0.62049,1.53709,0.001076,0.001076,0.001076
16,770.879,1.05086,0.74748,1.37514,0.9005,0.63279,0.66724,0.47542,1.04944,0.59224,1.39927,0.00101,0.00101,0.00101
17,817.602,1.05551,0.73556,1.35997,0.92702,0.60739,0.67475,0.48387,1.05536,0.61615,1.40845,0.000944,0.000944,0.000944
18,864.158,1.04043,0.71026,1.34433,0.914,0.61365,0.6735,0.47843,1.05529,0.60406,1.42236,0.000878,0.000878,0.000878
19,911.578,1.03039,0.69964,1.34871,0.93101,0.62335,0.67986,0.49528,1.03144,0.57445,1.39648,0.000812,0.000812,0.000812
20,959.224,0.99931,0.68787,1.33109,0.94859,0.61201,0.6731,0.48726,1.00284,0.5791,1.36609,0.000746,0.000746,0.000746
21,1006.11,0.97113,0.55857,1.38247,0.93599,0.60739,0.6715,0.49064,0.98369,0.56604,1.355,0.00068,0.00068,0.00068
22,1051.32,0.94574,0.53971,1.35764,0.92708,0.61663,0.68079,0.47798,1.08783,0.58801,1.43185,0.000614,0.000614,0.000614
23,1095.71,0.92898,0.52597,1.35674,0.89961,0.62356,0.67459,0.48199,1.04842,0.60971,1.42165,0.000548,0.000548,0.000548
24,1142.07,0.91997,0.52105,1.33958,0.94623,0.63741,0.69969,0.52017,0.97054,0.51714,1.32976,0.000482,0.000482,0.000482
25,1186.66,0.89899,0.49909,1.31478,0.90942,0.62603,0.68163,0.48241,1.07334,0.59066,1.42369,0.000416,0.000416,0.000416
26,1231.37,0.89236,0.50038,1.31457,0.96763,0.62356,0.69167,0.51103,0.99497,0.5318,1.33016,0.00035,0.00035,0.00035
27,1275.87,0.87573,0.48749,1.29319,0.93844,0.61663,0.69129,0.51469,0.95723,0.53665,1.31752,0.000284,0.000284,0.000284
28,1322.12,0.86293,0.46623,1.28786,0.97505,0.62356,0.70012,0.52769,0.93193,0.49797,1.2922,0.000218,0.000218,0.000218
29,1366.85,0.84445,0.46005,1.27337,0.96965,0.62818,0.69018,0.51221,0.97214,0.51854,1.31195,0.000152,0.000152,0.000152
30,1411.68,0.83371,0.45253,1.25804,0.95903,0.62356,0.69703,0.52618,0.91892,0.48254,1.27915,8.6e-05,8.6e-05,8.6e-05
